# t x y z qx qy qz qw
1.789998 0.685461 0.341910 0.278711 -0.579757 0.526849 -0.394273 0.480480
1.799998 0.685462 0.341740 0.278824 -0.579582 0.527065 -0.394239 0.480483
1.809998 0.685448 0.341601 0.278942 -0.579414 0.527269 -0.394183 0.480506
1.819998 0.685432 0.341481 0.279049 -0.579270 0.527447 -0.394121 0.480536
1.829998 0.685416 0.341334 0.279171 -0.579112 0.527649 -0.394042 0.480570
1.839998 0.685401 0.341185 0.279313 -0.578959 0.527830 -0.393962 0.480619
1.849998 0.685382 0.341035 0.279461 -0.578816 0.527999 -0.393878 0.480676
1.859998 0.685331 0.340948 0.279592 -0.578726 0.528098 -0.393794 0.480744
1.869998 0.685275 0.340872 0.279749 -0.578638 0.528173 -0.393733 0.480818
1.879998 0.685207 0.340805 0.279926 -0.578556 0.528220 -0.393690 0.480900
1.889998 0.685166 0.340707 0.280107 -0.578474 0.528244 -0.393693 0.480970
1.899998 0.685105 0.340620 0.280306 -0.578409 0.528237 -0.393697 0.481053
1.909998 0.685025 0.340545 0.280508 -0.578359 0.528205 -0.393708 0.481138
1.919998 0.684954 0.340472 0.280700 -0.578321 0.528155 -0.393737 0.481215
1.929998 0.684880 0.340407 0.280950 -0.578284 0.528058 -0.393787 0.481325
1.939998 0.684808 0.340354 0.281185 -0.578270 0.527936 -0.393845 0.481429
1.949998 0.684758 0.340250 0.281413 -0.578251 0.527814 -0.393936 0.481510
1.959998 0.684725 0.340111 0.281664 -0.578230 0.527670 -0.394055 0.481597
1.969998 0.684702 0.339991 0.281934 -0.578220 0.527489 -0.394181 0.481704
1.979998 0.684691 0.339849 0.282220 -0.578197 0.527310 -0.394324 0.481810
1.989998 0.684699 0.339648 0.282526 -0.578143 0.527157 -0.394492 0.481904
1.999998 0.684703 0.339470 0.282788 -0.578099 0.527033 -0.394618 0.481991
2.009998 0.684740 0.339221 0.283071 -0.578025 0.526933 -0.394749 0.482081
2.019998 0.684782 0.338978 0.283319 -0.577968 0.526828 -0.394869 0.482165
2.029998 0.684831 0.338764 0.283570 -0.577919 0.526708 -0.394980 0.482265
2.039998 0.684885 0.338565 0.283865 -0.577851 0.526583 -0.395091 0.482391
2.049998 0.684914 0.338392 0.284119 -0.577807 0.526466 -0.395169 0.482508
2.059998 0.684943 0.338191 0.284369 -0.577763 0.526356 -0.395232 0.482630
2.069998 0.684959 0.338029 0.284601 -0.577733 0.526247 -0.395257 0.482764
2.079998 0.684967 0.337895 0.284859 -0.577717 0.526109 -0.395245 0.482943
2.089998 0.684986 0.337759 0.285085 -0.577697 0.526002 -0.395205 0.483115
2.099998 0.684997 0.337650 0.285277 -0.577707 0.525875 -0.395152 0.483286
2.109998 0.684993 0.337584 0.285467 -0.577742 0.525713 -0.395085 0.483475
2.119998 0.684999 0.337490 0.285682 -0.577778 0.525533 -0.395015 0.483685
2.129998 0.685000 0.337409 0.285878 -0.577816 0.525363 -0.394941 0.483884
2.139998 0.684994 0.337332 0.286096 -0.577869 0.525166 -0.394840 0.484117
2.149998 0.684980 0.337246 0.286311 -0.577928 0.524975 -0.394709 0.484360
2.159998 0.684961 0.337158 0.286498 -0.577985 0.524817 -0.394548 0.484596
2.169998 0.684981 0.336984 0.286694 -0.577996 0.524716 -0.394398 0.484813
2.179998 0.685017 0.336772 0.286916 -0.577976 0.524645 -0.394252 0.485032
2.189998 0.685032 0.336603 0.287098 -0.577979 0.524562 -0.394127 0.485220
2.199998 0.685070 0.336354 0.287313 -0.577971 0.524450 -0.394081 0.485388
2.209998 0.685110 0.336133 0.287537 -0.577941 0.524352 -0.394083 0.485528
2.219998 0.685154 0.335883 0.287817 -0.577885 0.524257 -0.394088 0.485694
2.229998 0.685184 0.335650 0.288053 -0.577827 0.524200 -0.394086 0.485826
2.239998 0.685208 0.335417 0.288286 -0.577771 0.524144 -0.394089 0.485951
2.249998 0.685197 0.335256 0.288487 -0.577742 0.524080 -0.394055 0.486081
2.259998 0.685204 0.335055 0.288683 -0.577692 0.524052 -0.394017 0.486202
2.269998 0.685248 0.334803 0.288920 -0.577602 0.524042 -0.394004 0.486330
2.279998 0.685279 0.334590 0.289194 -0.577516 0.524009 -0.393966 0.486498
2.289998 0.685310 0.334365 0.289462 -0.577425 0.523994 -0.393921 0.486659
2.299998 0.685364 0.334096 0.289759 -0.577320 0.523973 -0.393887 0.486834
2.309998 0.685441 0.333797 0.290098 -0.577194 0.523954 -0.393851 0.487033
2.319998 0.685523 0.333505 0.290478 -0.577050 0.523948 -0.393767 0.487278
2.329998 0.685613 0.333198 0.290859 -0.576880 0.523989 -0.393655 0.487525
2.339998 0.685712 0.332847 0.291251 -0.576676 0.524089 -0.393498 0.487786
2.349998 0.685804 0.332476 0.291619 -0.576471 0.524215 -0.393323 0.488034
2.359998 0.685896 0.332092 0.292023 -0.576303 0.524231 -0.393247 0.488276
2.369998 0.686030 0.331665 0.292465 -0.576126 0.524185 -0.393325 0.488472
2.379998 0.686171 0.331226 0.292888 -0.575951 0.524133 -0.393453 0.488631
2.389998 0.686313 0.330702 0.293383 -0.575754 0.524071 -0.393597 0.488813
2.399998 0.686438 0.330173 0.293780 -0.575542 0.524110 -0.393726 0.488918
2.409998 0.686564 0.329643 0.294122 -0.575324 0.524193 -0.393847 0.488986
2.419998 0.686671 0.329152 0.294483 -0.575102 0.524282 -0.393933 0.489083
2.429998 0.686765 0.328692 0.294847 -0.574906 0.524340 -0.393982 0.489213
2.439998 0.686848 0.328285 0.295248 -0.574686 0.524413 -0.394015 0.489365
2.449998 0.686883 0.327981 0.295639 -0.574472 0.524516 -0.393965 0.489547
2.459998 0.686908 0.327630 0.296134 -0.574159 0.524744 -0.393800 0.489804
2.469998 0.686954 0.327287 0.296668 -0.573798 0.525022 -0.393610 0.490081
2.479998 0.687012 0.326913 0.297282 -0.573374 0.525352 -0.393382 0.490406
2.489998 0.687148 0.326391 0.297959 -0.572851 0.525785 -0.393138 0.490749
