# t x y z qx qy qz qw
2.669997 0.681307 0.309474 0.324739 -0.570823 0.514661 -0.404374 0.495749
2.679997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.689997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.699997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.709997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.719997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.729997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.739997 0.681283 0.309170 0.325063 -0.570754 0.514591 -0.404495 0.495802
2.749997 0.682115 0.308744 0.325392 -0.570973 0.513947 -0.404671 0.496074
2.759997 0.682995 0.308294 0.325740 -0.571205 0.513265 -0.404858 0.496360
2.769997 0.683875 0.307844 0.326087 -0.571437 0.512583 -0.405044 0.496647
2.779997 0.684755 0.307394 0.326435 -0.571668 0.511901 -0.405230 0.496933
2.789997 0.684952 0.306652 0.327163 -0.571574 0.511601 -0.405597 0.497050
2.799997 0.684957 0.305828 0.327997 -0.571389 0.511409 -0.406016 0.497119
2.809997 0.684962 0.305005 0.328831 -0.571203 0.511217 -0.406434 0.497188
2.819997 0.684967 0.304181 0.329665 -0.571018 0.511024 -0.406852 0.497257
2.829997 0.684954 0.306341 0.327477 -0.571504 0.511529 -0.405755 0.497076
2.839997 0.684952 0.306665 0.327149 -0.571577 0.511604 -0.405591 0.497049
2.849997 0.684957 0.305842 0.327983 -0.571392 0.511412 -0.406009 0.497118
2.859997 0.684962 0.305018 0.328817 -0.571206 0.511220 -0.406427 0.497187
2.869997 0.684967 0.304194 0.329652 -0.571021 0.511028 -0.406845 0.497255
2.879997 0.684969 0.303863 0.329988 -0.570946 0.510950 -0.407014 0.497283
2.889997 0.684969 0.303863 0.329988 -0.570946 0.510950 -0.407014 0.497283
2.899997 0.684969 0.303863 0.329988 -0.570946 0.510950 -0.407014 0.497283
2.909997 0.685099 0.303558 0.330272 -0.570624 0.511184 -0.406908 0.497499
2.919997 0.685565 0.302462 0.331294 -0.569463 0.512025 -0.406526 0.498276
2.929997 0.686032 0.301366 0.332317 -0.568300 0.512865 -0.406142 0.499052
2.939997 0.686498 0.300271 0.333339 -0.567136 0.513703 -0.405758 0.499827
2.949997 0.686929 0.299195 0.334347 -0.566042 0.514467 -0.405426 0.500549
2.959997 0.686889 0.298384 0.335151 -0.565891 0.514276 -0.405797 0.500616
2.969997 0.686849 0.297573 0.335956 -0.565739 0.514085 -0.406167 0.500683
2.979997 0.686809 0.296762 0.336761 -0.565587 0.513894 -0.406538 0.500750
2.989997 0.686769 0.295951 0.337566 -0.565435 0.513703 -0.406909 0.500817
2.999997 0.686927 0.299162 0.334380 -0.566035 0.514460 -0.405442 0.500552
3.009997 0.686887 0.298352 0.335185 -0.565884 0.514269 -0.405813 0.500619
3.019997 0.686847 0.297541 0.335989 -0.565732 0.514078 -0.406184 0.500686
3.029997 0.686807 0.296730 0.336794 -0.565580 0.513887 -0.406554 0.500753
3.039997 0.686767 0.295919 0.337599 -0.565428 0.513696 -0.406925 0.500819
3.049997 0.686764 0.295874 0.337644 -0.565420 0.513685 -0.406945 0.500823
3.059997 0.686765 0.295874 0.337644 -0.565420 0.513685 -0.406945 0.500823
3.069997 0.686765 0.295874 0.337644 -0.565420 0.513685 -0.406944 0.500823
3.079997 0.687342 0.292455 0.340617 -0.563789 0.515004 -0.407263 0.501049
3.089997 0.687988 0.288291 0.344210 -0.561901 0.516445 -0.407739 0.501300
3.099997 0.687953 0.287334 0.344940 -0.561790 0.516260 -0.408137 0.501290
3.109997 0.687918 0.286377 0.345671 -0.561679 0.516074 -0.408535 0.501281
3.119997 0.687884 0.285421 0.346402 -0.561568 0.515889 -0.408933 0.501272
3.129997 0.687849 0.284460 0.347130 -0.561456 0.515706 -0.409331 0.501261
3.139997 0.687816 0.283472 0.347838 -0.561332 0.515544 -0.409727 0.501242
3.149997 0.687783 0.282483 0.348546 -0.561209 0.515382 -0.410123 0.501223
3.159997 0.687751 0.281494 0.349254 -0.561086 0.515219 -0.410519 0.501204
3.169997 0.687718 0.280505 0.349962 -0.560962 0.515057 -0.410915 0.501185
3.179997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.189997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.199997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.209997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.219997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.229997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.239997 0.687717 0.280466 0.349990 -0.560958 0.515050 -0.410930 0.501185
3.249997 0.687725 0.278730 0.351580 -0.560505 0.514938 -0.410817 0.501899
3.259997 0.687734 0.276903 0.353254 -0.560029 0.514819 -0.410697 0.502650
3.269997 0.687742 0.275075 0.354928 -0.559552 0.514699 -0.410577 0.503402
3.279997 0.687751 0.273248 0.356602 -0.559074 0.514579 -0.410456 0.504152
3.289997 0.687730 0.272010 0.357478 -0.558921 0.514396 -0.410839 0.504197
3.299997 0.687700 0.270937 0.358129 -0.558860 0.514195 -0.411364 0.504042
3.309997 0.687671 0.269865 0.358780 -0.558798 0.513994 -0.411889 0.503887
